Target;Input01;Input02;Input03;Input04;Input05;Input06;Input07;Input08
846,28;11,37;1059,60;617,63;56,29;57,08;11,42;53,23;2105,25
857,05;11,51;1059,87;621,87;56,24;56,73;11,35;53,15;2115,31
854,19;11,36;1060,53;622,13;57,60;56,34;11,27;52,84;2160,76
848,32;11,22;1060,40;629,13;57,41;55,98;11,20;52,36;2132,55
844,97;11,47;1059,87;619,12;55,93;55,61;11,12;51,78;2078,23
852,40;11,42;1059,47;626,25;56,37;55,35;11,07;51,19;2075,54
849,62;11,36;1059,60;617,75;56,98;55,17;11,03;50,62;2103,59
850,60;11,31;1060,27;625,50;54,83;55,08;11,02;50,10;2040,16
851,58;11,29;1060,53;620,63;54,95;55,07;11,01;49,71;2051,76
844,81;11,28;1059,34;617,00;56,08;55,11;11,02;49,40;2032,98
843,99;11,27;1059,60;623,25;53,88;55,23;11,05;49,19;2018,14
851,42;11,27;1060,40;624,50;53,80;55,38;11,08;49,05;2022,48
849,22;11,26;1060,53;620,00;53,68;55,56;11,11;48,95;2016,64
847,83;11,26;1060,00;619,75;56,47;55,72;11,14;48,88;2083,20
844,49;11,26;1059,87;632,88;53,71;55,83;11,17;48,84;2024,42
842,77;11,26;1059,47;620,63;52,73;55,93;11,19;48,80;1981,73
845,22;11,26;1060,27;618,00;53,27;56,11;11,22;48,78;1993,13
851,91;11,21;1060,13;637,00;52,92;56,34;11,27;48,78;2013,33
847,26;11,04;1060,13;621,50;54,88;56,58;11,32;48,79;2060,75
851,26;11,19;1059,74;620,75;53,88;56,76;11,35;48,82;2020,87
843,91;11,33;1059,47;623,25;54,83;56,92;11,38;48,87;2045,76
851,83;11,30;1060,13;630,50;54,43;57,12;11,42;48,94;2060,75
851,50;11,10;1060,53;630,00;54,22;57,39;11,48;49,06;2085,17
850,69;11,22;1060,40;631,00;55,31;57,68;11,54;49,24;2107,93
851,42;11,29;1059,74;624,50;53,12;57,94;11,59;49,44;2007,77
848,40;11,26;1059,47;620,25;54,33;58,24;11,65;49,69;2039,01
841,63;11,32;1060,13;615,87;55,79;58,50;11,70;49,97;2132,47
851,58;11,30;1060,13;621,63;54,63;58,70;11,74;50,27;2068,40
850,52;11,28;1060,00;612,63;53,24;58,88;11,78;50,57;2039,68
848,73;11,27;1060,13;620,87;54,13;59,03;11,81;50,87;2102,41
850,93;11,27;1059,74;620,63;51,95;59,14;11,83;51,17;2036,49
842,85;11,26;1059,74;624,00;52,01;59,18;11,84;51,50;2060,79
851,42;11,26;1060,40;622,50;51,93;59,11;11,82;51,81;2047,06
841,71;11,26;1059,87;622,50;50,69;58,95;11,79;52,12;2024,93
850,77;11,26;1059,74;612,75;50,59;58,73;11,75;52,41;2021,34
850,03;11,26;1060,13;622,13;51,51;58,47;11,69;52,66;2048,95
847,34;11,26;1059,74;618,88;52,22;58,13;11,63;52,91;2033,21
840,49;11,26;1060,40;621,63;50,82;57,75;11,55;53,09;2035,15
847,75;11,21;1059,87;618,75;52,26;57,35;11,47;53,06;2081,70
849,22;11,11;1059,47;617,13;51,51;56,96;11,39;52,77;2039,37
840,90;11,20;1060,00;618,50;50,92;56,53;11,31;52,30;2044,65
851,83;11,21;1060,00;621,75;50,80;56,08;11,22;51,74;2040,99
844,57;11,16;1060,13;616,50;52,69;55,62;11,12;51,07;2085,41
850,28;11,16;1060,00;627,62;52,49;55,24;11,05;50,49;2055,86
849,87;11,26;1060,00;614,25;52,91;54,94;10,99;49,99;2105,13
857,46;11,46;1059,74;619,00;54,68;54,70;10,94;49,60;2103,16
851,75;11,34;1059,74;617,75;53,43;54,55;10,91;49,32;2089,67
852,97;11,31;1060,00;614,12;53,35;54,48;10,90;49,15;2105,76
854,52;11,29;1060,40;623,00;52,96;54,49;10,90;49,02;2041,85
848,81;11,28;1059,87;627,62;53,35;54,54;10,91;48,94;2067,38
849,05;11,27;1059,60;617,75;53,85;54,66;10,93;48,91;2071,95
853,13;11,26;1059,87;615,87;52,76;54,82;10,96;48,88;2073,33
834,37;11,26;1060,40;626,37;51,93;55,02;11,00;48,87;2039,88
847,42;11,26;1060,00;614,88;52,90;55,22;11,04;48,86;2087,65
846,69;11,26;1059,87;618,75;52,87;55,43;11,09;48,87;2068,96
842,20;11,26;1060,13;621,75;52,25;55,66;11,13;48,90;2050,18
